Date,Open,High,Low,Close,Adj Close,Volume
2018-12-10,89.370003,89.989998,85.080002,85.610001,67.780449,9540200
2018-12-17,85.070000,88.709999,82.410004,84.919998,67.234154,42255600
2018-12-24,84.849998,92.820000,83.599998,91.120003,72.142906,24633400
2018-12-31,91.599998,92.989998,86.080002,89.070000,70.519875,29194300
2019-01-07,90.070000,92.300003,87.120003,88.309998,69.918137,36577500
2019-01-14,86.970001,89.790001,84.449997,89.500000,70.860313,31219700
2019-01-21,88.860001,89.360001,79.430000,80.540001,64.548447,40315100
2019-01-28,80.000000,81.309998,75.769997,80.500000,64.516403,56228400
2019-02-04,80.300003,80.360001,77.519997,79.669998,63.851196,33554700
2019-02-11,79.889999,81.699997,78.570000,80.849998,64.796890,25392500
2019-02-18,80.500000,81.519997,78.099998,80.019997,64.131676,22622300
2019-02-25,80.459999,80.860001,78.750000,80.099998,64.195816,28849100
2019-03-04,80.400002,80.730003,77.089996,77.580002,62.176174,29930400
2019-03-11,77.570000,81.459999,77.269997,81.339996,65.189613,39104300
2019-03-18,81.339996,81.989998,79.260002,79.760002,63.923325,27398200
2019-03-25,79.500000,81.190002,78.410004,80.589996,64.588524,23113400
2019-04-01,80.980003,84.730003,79.970001,83.449997,66.880669,26022900
2019-04-08,83.699997,84.000000,79.839996,80.779999,64.740791,24959500
2019-04-15,80.959999,81.510002,76.809998,77.570000,62.992439,21722200
2019-04-22,77.599998,80.650002,76.910004,79.699997,64.722160,38568500
2019-04-29,80.459999,80.980003,77.599998,78.709999,63.918213,30777200
2019-05-06,77.750000,79.519997,75.620003,77.449997,62.895000,22033200
2019-05-13,76.300003,80.750000,76.169998,79.459999,64.527252,25180400
2019-05-20,79.019997,81.750000,78.910004,80.059998,65.014511,20628700
2019-05-27,80.000000,80.099998,76.400002,76.709999,62.294079,18276300
2019-06-03,76.629997,78.379997,73.809998,77.430000,62.878757,27547800
2019-06-10,77.459999,79.339996,76.599998,78.690002,63.901970,19346100
2019-06-17,78.400002,79.199997,76.430000,78.779999,63.975052,30527900
2019-06-24,78.410004,79.309998,65.059998,72.720001,59.053905,180919000
2019-07-01,73.500000,74.970001,72.279999,72.989998,59.273151,49162100
2019-07-08,72.519997,73.000000,68.540001,70.279999,57.072449,60394300
2019-07-15,70.309998,71.019997,68.000000,68.540001,56.508160,50980100
2019-07-22,68.500000,69.139999,66.500000,67.760002,55.865097,55245200
2019-07-29,67.870003,68.410004,65.029999,65.349998,53.878151,52321600
2019-08-05,64.980003,66.870003,63.310001,65.580002,54.067776,50720500
2019-08-12,65.239998,65.930000,62.660000,64.430000,53.119667,39258500
2019-08-19,65.040001,68.459999,64.970001,65.970001,54.389324,44880300
2019-08-26,66.430000,67.029999,65.400002,65.739998,54.199688,31732100
2019-09-02,65.779999,68.120003,64.440002,67.620003,55.749676,30638900
2019-09-09,67.959999,71.510002,65.650002,70.510002,58.132355,48531400
2019-09-16,70.370003,73.000000,69.720001,72.389999,59.682316,39768000
2019-09-23,72.330002,75.139999,72.019997,74.849998,61.710487,40240200
2019-09-30,74.949997,76.440002,71.570000,74.660004,61.553841,40842400
2019-10-07,74.720001,75.269997,73.199997,73.629997,60.704639,31630300
2019-10-14,73.650002,77.169998,73.389999,76.459999,63.957066,35649000
2019-10-21,76.879997,78.660004,75.849998,76.529999,64.015602,31234100
2019-10-28,76.669998,82.180000,76.489998,81.750000,68.381996,44126100
2019-11-04,82.949997,85.459999,80.349998,85.209999,71.276207,43832700
2019-11-11,84.949997,89.190002,83.900002,88.629997,74.136986,40153300
2019-11-18,88.339996,90.410004,85.309998,86.050003,71.978859,41608900
2019-11-25,86.849998,88.809998,86.059998,87.730003,73.384155,23708100
2019-12-02,87.839996,88.029999,85.589996,86.980003,72.756783,34872200
2019-12-09,87.220001,89.089996,86.209999,87.839996,73.476151,32960800
2019-12-16,88.379997,91.989998,88.260002,89.290001,74.689056,46545200
