Date,Open,High,Low,Close,Adj Close,Volume
2018-12-10,159.789993,161.089996,155.119995,155.529999,145.006577,4563200
2018-12-17,154.729996,156.210007,136.929993,137.199997,127.916824,21354700
2018-12-24,136.580002,141.800003,132.630005,139.820007,130.359543,9493700
2018-12-31,140.399994,141.339996,135.580002,141.070007,131.524979,8983400
2019-01-07,140.830002,147.429993,139.850006,146.229996,136.335815,10985300
2019-01-14,144.779999,151.399994,144.149994,150.449997,140.270279,9990600
2019-01-21,149.500000,152.220001,147.440002,151.850006,141.575607,7629600
2019-01-28,150.720001,155.220001,150.199997,154.740005,144.270065,9762100
2019-02-04,155.000000,158.029999,154.020004,155.589996,145.062546,9436700
2019-02-11,156.000000,159.330002,155.020004,159.229996,148.456253,9172000
2019-02-18,158.610001,161.830002,158.190002,161.500000,150.572662,7113800
2019-02-25,162.059998,164.899994,160.130005,164.199997,153.089966,8675400
2019-03-04,164.750000,164.919998,160.500000,161.690002,150.749802,8307600
2019-03-11,162.479996,167.039993,161.990005,166.389999,155.131775,11694100
2019-03-18,166.750000,168.919998,164.809998,165.240005,154.059631,8939500
2019-03-25,164.979996,177.490005,164.000000,176.020004,164.110214,14095600
2019-04-01,175.500000,178.419998,174.559998,178.149994,166.096085,11515000
2019-04-08,177.669998,179.360001,176.100006,178.639999,166.552933,8850400
2019-04-15,178.410004,180.000000,177.389999,178.610001,167.904236,6195100
2019-04-22,177.250000,181.410004,177.020004,180.830002,169.991196,6688900
2019-04-29,180.779999,183.350006,176.520004,176.979996,166.371933,8460200
2019-05-06,173.830002,176.869995,170.669998,174.300003,163.852585,10108000
2019-05-13,171.389999,179.750000,170.350006,178.330002,167.641022,9879000
2019-05-20,176.979996,181.380005,176.440002,178.809998,168.092255,6541500
2019-05-27,179.259995,180.110001,176.490005,178.070007,167.396606,6731700
2019-06-03,177.869995,184.229996,174.229996,182.919998,171.955917,9240000
2019-06-10,184.330002,186.679993,183.070007,184.970001,173.883026,7538900
2019-06-17,185.000000,187.309998,183.509995,185.559998,174.437683,10602600
2019-06-24,186.070007,187.149994,177.990005,184.770004,173.695038,12334100
2019-07-01,184.830002,191.740005,184.429993,191.389999,179.918198,7739200
2019-07-08,191.059998,196.229996,189.070007,196.210007,184.449310,9175700
2019-07-15,196.220001,196.360001,193.190002,193.929993,182.305969,7430400
2019-07-22,194.649994,197.029999,192.880005,196.929993,185.126144,6239100
2019-07-29,197.000000,197.470001,190.500000,193.009995,181.441116,7699800
2019-08-05,189.580002,194.279999,184.229996,191.479996,180.002838,10608600
2019-08-12,191.479996,193.660004,186.699997,193.220001,181.638565,10445200
2019-08-19,195.000000,197.929993,191.570007,192.809998,181.253098,7810500
2019-08-26,194.339996,200.679993,193.470001,198.169998,186.291824,8271200
2019-09-02,196.360001,202.800003,195.440002,201.119995,189.064987,7347400
2019-09-09,200.970001,201.119995,187.889999,194.619995,182.954620,12478900
2019-09-16,193.369995,196.229996,191.539993,193.089996,181.516327,8707200
2019-09-23,192.330002,195.869995,187.279999,191.380005,179.908813,12898700
2019-09-30,191.490005,193.369995,182.850006,189.639999,178.273087,10764400
2019-10-07,188.289993,188.699997,182.000000,184.970001,173.883026,9860400
2019-10-14,185.360001,188.130005,184.160004,187.080002,175.866562,9117100
