Date,Open,High,Low,Close,Adj Close,Volume
2018-12-10,206.860001,211.169998,200.350006,200.929993,194.159149,4683700
2018-12-17,200.289993,202.880005,184.990005,185.809998,179.548691,12014500
2018-12-24,185.000000,199.490005,182.610001,195.850006,189.250412,7066700
2018-12-31,197.369995,198.759995,188.210007,196.000000,189.395325,6312100
2019-01-07,195.330002,207.289993,195.330002,206.149994,199.203278,7459500
2019-01-14,203.750000,215.320007,202.910004,213.869995,207.140930,6688000
2019-01-21,212.839996,216.490005,209.899994,214.300003,207.557373,5204900
2019-01-28,212.830002,217.399994,207.690002,214.449997,207.702698,7946900
2019-02-04,216.880005,225.470001,215.559998,224.830002,217.756104,7557100
2019-02-11,226.830002,233.729996,224.660004,233.320007,225.978989,6499600
2019-02-18,233.360001,251.570007,232.610001,250.940002,243.044601,8926000
2019-02-25,247.100006,252.020004,245.119995,250.410004,242.531250,9329500
2019-03-04,250.679993,252.199997,240.009995,245.880005,238.143799,5646600
2019-03-11,247.460007,259.859985,246.529999,258.130005,250.008331,9161600
2019-03-18,258.250000,260.709991,252.470001,252.679993,244.729828,6755100
2019-03-25,252.360001,261.630005,250.720001,261.410004,253.185196,6113800
2019-04-01,264.519989,272.140015,258.609985,261.700012,253.466049,7524000
2019-04-08,261.799988,262.269989,257.619995,260.059998,251.877579,8159200
2019-04-15,260.489990,262.109985,254.600006,257.769989,250.110458,5813600
2019-04-22,256.109985,267.339996,238.300003,253.580002,246.045013,10026700
2019-04-29,252.770004,255.199997,243.110001,248.860001,241.465302,7938800
2019-05-06,244.009995,248.940002,237.660004,244.630005,237.360931,7437400
2019-05-13,237.940002,249.759995,236.029999,245.449997,238.156586,6285300
2019-05-20,242.669998,258.399994,240.139999,257.480011,249.829117,7056900
2019-05-27,256.399994,259.260010,243.589996,244.850006,237.574417,7251300
2019-06-03,245.199997,260.600006,236.750000,257.470001,249.819382,6710600
2019-06-10,259.859985,264.000000,253.949997,254.130005,246.578629,6183000
2019-06-17,254.029999,268.429993,253.350006,261.510010,253.739380,7138700
2019-06-24,263.070007,264.119995,256.109985,261.329987,253.564713,6435900
2019-07-01,266.029999,270.829987,262.700012,270.540009,262.501007,3362800
2019-07-08,269.459991,281.839996,267.790009,281.649994,273.280884,6198500
2019-07-15,282.000000,284.549988,278.640015,279.320007,271.490753,5767000
2019-07-22,280.410004,284.970001,278.279999,283.769989,275.816040,5040000
