Date,Open,High,Low,Close,Adj Close,Volume
2018-12-10,145.570007,146.009995,142.509995,144.059998,144.059998,39934400
2018-12-17,143.080002,145.929993,123.419998,124.949997,124.949997,203647400
2018-12-24,123.099998,135.919998,123.019997,133.199997,133.199997,115619500
2018-12-31,134.449997,138.000000,128.559998,137.949997,137.949997,104491500
2019-01-07,137.559998,145.360001,135.910004,143.800003,143.800003,97592000
2019-01-14,142.000000,152.429993,141.270004,150.039993,150.039993,109432500
2019-01-21,149.199997,151.529999,142.520004,149.009995,149.009995,85669800
2019-01-28,148.050003,171.679993,143.429993,165.710007,165.710007,185793900
2019-02-04,165.699997,172.470001,163.619995,167.330002,167.330002,85953200
2019-02-11,167.899994,168.339996,160.860001,162.500000,162.500000,71568200
2019-02-18,160.500000,164.149994,159.589996,161.889999,161.889999,57582400
2019-02-25,163.070007,166.240005,160.410004,162.279999,162.279999,67430700
2019-03-04,163.899994,173.570007,163.830002,169.600006,169.600006,100105600
2019-03-11,171.600006,174.300003,162.509995,165.979996,165.979996,98185400
2019-03-18,163.570007,167.419998,159.279999,164.339996,164.339996,115959400
2019-03-25,163.000000,169.449997,162.000000,166.690002,166.690002,62587900
2019-04-01,167.830002,178.000000,167.279999,175.720001,175.720001,89160900
2019-04-08,175.210007,179.630005,174.229996,179.100006,179.100006,59150700
2019-04-15,178.500000,180.740005,176.869995,178.279999,178.279999,43679300
2019-04-22,178.250000,198.479996,178.250000,191.490005,191.490005,146858400
2019-04-29,190.949997,197.389999,189.750000,195.470001,195.470001,86917500
2019-05-06,191.240005,194.279999,184.589996,188.339996,188.339996,68299100
2019-05-13,183.500000,188.580002,178.100006,185.300003,185.300003,74646800
2019-05-20,181.880005,186.740005,179.669998,181.059998,181.059998,48645100
2019-05-27,181.539993,184.710007,177.160004,177.470001,177.470001,51449000
2019-06-03,175.000000,175.050003,160.839996,173.350006,173.350006,151225900
2019-06-10,174.750000,181.839996,172.880005,181.330002,181.330002,76761600
2019-06-17,185.009995,194.529999,184.410004,191.139999,191.139999,125835300
2019-06-24,192.419998,198.880005,187.309998,193.000000,193.000000,72605800
2019-07-01,195.210007,197.399994,191.929993,196.399994,196.399994,44642000
2019-07-08,195.190002,205.300003,193.639999,204.869995,204.869995,74039000
2019-07-15,204.250000,205.470001,198.070007,198.360001,198.360001,64282900
2019-07-22,199.910004,208.660004,196.250000,199.750000,199.750000,125029100
2019-07-29,199.000000,199.630005,188.070007,189.020004,189.020004,76101900
2019-08-05,184.690002,190.979996,179.339996,187.850006,187.850006,82843300
2019-08-12,186.850006,191.380005,179.309998,183.699997,183.699997,68992100
2019-08-19,186.009995,187.500000,176.660004,177.750000,177.750000,56317600
2019-08-26,179.399994,186.800003,178.240005,185.669998,185.669998,53462500
2019-09-02,184.000000,191.360001,182.110001,187.490005,187.490005,50190900
2019-09-09,187.729996,190.929993,184.550003,187.190002,187.190002,64800900
2019-09-16,186.929993,193.100006,185.539993,189.929993,189.929993,58124700
2019-09-23,189.339996,190.100006,175.660004,177.100006,177.100006,80682000
2019-09-30,177.869995,180.979996,173.089996,180.449997,180.449997,70481200
2019-10-07,180.000000,186.490005,177.720001,184.190002,184.190002,49737600
2019-10-14,184.199997,191.490005,182.570007,185.850006,185.850006,59039200
2019-10-21,187.039993,190.649994,181.500000,187.889999,187.889999,59435300
2019-10-28,187.199997,198.089996,185.080002,193.619995,193.619995,119965700
2019-11-04,194.550003,197.369995,189.470001,190.839996,190.839996,61520100
2019-11-11,189.929993,195.699997,188.539993,195.100006,195.100006,57672200
2019-11-18,194.559998,200.000000,193.050003,198.820007,198.820007,69670200
2019-11-25,199.520004,203.800003,198.039993,201.639999,201.639999,47729600
2019-12-02,202.130005,202.179993,195.080002,201.050003,201.050003,53566000
2019-12-09,200.649994,203.660004,193.169998,194.110001,194.110001,72000100
2019-12-16,195.270004,207.710007,194.809998,206.300003,206.300003,92183100
2019-12-23,206.699997,208.929993,205.000000,208.100006,208.100006,39030100
2019-12-30,207.860001,210.399994,203.600006,208.669998,208.669998,42743300
2020-01-06,206.699997,219.880005,206.520004,218.059998,218.059998,70208500
2020-01-13,219.600006,222.630005,218.630005,222.139999,222.139999,63710000
2020-01-20,222.160004,222.750000,216.110001,217.940002,217.940002,49589400
2020-01-27,213.100006,224.199997,201.059998,201.910004,201.910004,140541200
2020-02-03,203.440002,212.820007,202.500000,212.330002,212.330002,70472700
2020-02-10,211.520004,214.929993,206.509995,214.179993,214.179993,76839200
2020-02-17,213.550003,218.770004,208.830002,210.179993,210.179993,54945800
2020-02-24,201.800003,203.649994,181.820007,192.470001,192.470001,115289600
2020-03-02,194.029999,197.240005,176.259995,181.089996,181.089996,119888600
2020-03-09,169.600006,178.289993,154.339996,170.279999,170.279999,153135600
2020-03-16,152.320007,159.929993,137.100006,149.729996,149.729996,183359800
2020-03-23,149.660004,164.000000,142.250000,156.789993,156.789993,146892200
2020-03-30,159.179993,170.929993,150.830002,154.179993,154.179993,112568700
2020-04-06,160.149994,177.080002,158.509995,175.190002,175.190002,105064000
2020-04-13,173.669998,181.229996,169.449997,179.240005,179.240005,102358200
2020-04-20,177.410004,190.410004,168.339996,190.070007,190.070007,124421800
2020-04-27,192.660004,209.690002,182.559998,202.270004,202.270004,173529000
2020-05-04,200.199997,213.210007,198.759995,212.350006,212.350006,89836900
2020-05-11,210.889999,215.279999,200.690002,210.880005,210.880005,84863200
2020-05-18,212.149994,237.199997,210.940002,234.910004,234.910004,183866200
2020-05-25,239.770004,240.899994,221.130005,225.089996,225.089996,120494600
2020-06-01,224.589996,233.000000,223.500000,230.770004,230.770004,88315000
2020-06-08,229.029999,241.210007,223.550003,228.580002,228.580002,112449700
2020-06-15,225.089996,240.830002,224.800003,238.789993,238.789993,96018900
2020-06-22,238.559998,245.190002,215.399994,216.080002,216.080002,158818800
2020-06-29,209.750000,240.000000,207.110001,233.419998,233.419998,166474700
2020-07-06,233.759995,247.649994,232.270004,245.070007,245.070007,129042900
2020-07-13,247.009995,250.149994,232.029999,242.029999,242.029999,104219700
2020-07-20,240.059998,246.910004,226.899994,230.710007,230.710007,95761900
2020-07-27,231.460007,255.850006,229.000000,253.669998,253.669998,114541900
