Date,Open,High,Low,Close,Adj Close,Volume
2018-12-10,47.970001,48.119999,46.380001,46.540001,40.204079,61140100
2018-12-17,46.220001,47.520000,44.930000,45.119999,38.977394,190018700
2018-12-24,44.470001,46.430000,43.020000,45.779999,39.547539,96460200
2018-12-31,45.980000,48.110001,45.410000,47.950001,41.422108,82445300
2019-01-07,47.779999,48.230000,46.919998,47.869999,41.353012,96613900
2019-01-14,47.509998,50.160000,47.009998,50.009998,43.201668,145420700
2019-01-21,49.770000,50.540001,49.500000,50.130001,43.305340,88827400
2019-01-28,49.770000,50.349998,48.660000,48.910000,42.251427,94784000
2019-02-04,48.849998,49.529999,47.060001,47.650002,41.536114,89309300
2019-02-11,47.869999,49.709999,47.380001,49.220001,42.904671,87602500
2019-02-18,49.029999,49.889999,48.820000,49.020000,42.730331,64651300
2019-02-25,49.259998,50.840000,49.250000,50.029999,43.610748,87854900
2019-03-04,50.290001,50.900002,49.169998,49.799999,43.410248,81590700
2019-03-11,50.000000,50.799999,49.540001,50.660000,44.159897,125696100
2019-03-18,50.840000,52.419998,48.000000,48.310001,42.111427,116496200
2019-03-25,48.419998,49.799999,47.799999,48.320000,42.120152,120601600
2019-04-01,48.430000,49.680000,47.959999,48.779999,42.521122,150770400
2019-04-08,48.639999,49.099998,46.060001,46.490002,40.524963,176690600
2019-04-15,45.869999,47.959999,45.660000,47.580002,41.475098,107731900
2019-04-22,47.410000,47.980000,46.910000,47.959999,41.806332,86317000
2019-04-29,47.970001,48.849998,47.849998,48.650002,42.407806,86440200
2019-05-06,47.990002,48.730000,45.779999,47.150002,41.100273,106243700
2019-05-13,46.279999,46.990002,45.410000,45.700001,40.221409,107733200
2019-05-20,45.619999,46.360001,45.070000,46.169998,40.635067,81494500
2019-05-27,46.070000,46.250000,44.220001,44.369999,39.050858,67359800
2019-06-03,44.240002,46.189999,44.200001,45.630001,40.159809,85960300
2019-06-10,46.060001,46.810001,44.779999,45.590000,40.124599,84568300
2019-06-17,45.580002,46.889999,45.060001,46.889999,41.268749,108210500
2019-06-24,46.549999,47.700001,45.430000,47.320000,41.647209,104197700
2019-07-01,47.880001,48.189999,46.919998,47.770000,42.043259,48436300
2019-07-08,47.400002,47.990002,46.919998,47.360001,41.682419,71113200
2019-07-15,47.400002,47.450001,45.139999,46.029999,40.511856,124645800
2019-07-22,45.889999,49.310001,45.770000,49.299999,43.389847,110683000
2019-07-29,49.380001,49.570000,46.369999,47.439999,41.752823,99606000
2019-08-05,46.500000,47.029999,45.230000,46.299999,40.749489,114847000
2019-08-12,45.509998,46.419998,43.340000,44.389999,39.508305,111896800
2019-08-19,45.130001,45.830002,44.090000,44.419998,39.535007,78094000
2019-08-26,44.709999,46.900002,44.430000,46.570000,41.448563,77198500
2019-09-02,46.310001,48.169998,45.480000,47.150002,41.964783,72436800
2019-09-09,47.320000,49.360001,46.889999,48.919998,43.540119,122112100
2019-09-16,48.459999,49.310001,48.310001,48.630001,43.282017,103734400
2019-09-23,48.320000,51.410000,48.310001,50.709999,45.133270,142997200
2019-09-30,50.770000,50.849998,47.320000,49.209999,43.798229,113654000
2019-10-07,48.950001,49.919998,47.540001,49.209999,43.798229,90186100
2019-10-14,49.090000,51.250000,48.779999,49.970001,44.474651,120836900
2019-10-21,50.279999,51.730000,50.180000,51.570000,45.898701,86238400
2019-10-28,51.939999,52.360001,51.150002,52.180000,46.441612,96307700
2019-11-04,52.580002,54.400002,52.240002,54.099998,48.150463,103750900
2019-11-11,53.790001,54.240002,53.099998,53.799999,48.341721,74410500
2019-11-18,53.840000,54.349998,53.250000,54.279999,48.773014,73812900
2019-11-25,54.529999,54.750000,53.730000,54.459999,48.934757,60501400
2019-12-02,54.310001,54.439999,52.169998,54.369999,48.853886,96506200
2019-12-09,54.169998,54.549999,53.070000,53.790001,48.332733,86162900
2019-12-16,54.240002,54.560001,53.070000,53.330002,47.919403,139825200
2019-12-23,53.340000,54.389999,53.250000,53.919998,48.449543,44682300
2019-12-30,54.169998,54.259998,52.900002,53.419998,48.000267,55878400
2020-01-06,52.740002,53.330002,52.470001,52.500000,47.173615,77659500
2020-01-13,52.500000,52.500000,47.840000,49.180000,44.190445,195703300
2020-01-20,49.090000,49.880001,47.180000,47.570000,42.743778,89763500
2020-01-27,46.889999,47.950001,46.740002,46.939999,42.177696,88836400
2020-02-03,47.240002,48.500000,47.029999,47.840000,42.986393,82020000
2020-02-10,47.669998,48.490002,47.419998,48.220001,43.790123,76535400
2020-02-17,47.970001,48.119999,46.529999,47.700001,43.317902,75720900
2020-02-24,46.580002,46.950001,39.750000,40.849998,37.097187,194441600
2020-03-02,40.980000,42.900002,36.330002,37.090000,33.682610,225008100
2020-03-09,33.720001,35.080002,27.120001,30.889999,28.052193,284938700
2020-03-16,26.340000,30.620001,25.889999,26.500000,24.065495,294522900
2020-03-23,26.260000,31.389999,25.110001,30.280001,27.498238,233473000
2020-03-30,30.360001,30.480000,25.910000,26.230000,23.820299,192499800
2020-04-06,27.410000,33.910000,27.400000,33.200001,30.149981,179961700
2020-04-13,33.220001,33.240002,26.660000,28.379999,25.772779,242167000
2020-04-20,27.330000,28.889999,26.370001,26.920000,24.446911,188871000
2020-04-27,27.370001,30.459999,27.160000,27.590000,25.055363,178013000
2020-05-04,26.959999,27.799999,25.139999,25.430000,23.093796,254942500
2020-05-11,25.110001,25.270000,22.000000,23.360001,21.645002,334796800
2020-05-18,24.549999,25.590000,23.920000,24.170000,22.395533,208007600
2020-05-25,25.049999,28.370001,25.040001,26.469999,24.526678,222510400
2020-06-01,26.610001,33.889999,26.370001,31.670000,29.344913,293564100
2020-06-08,32.900002,33.430000,26.700001,27.969999,25.916553,329544200
2020-06-15,26.860001,29.650000,26.559999,27.600000,25.573715,245531000
2020-06-22,27.270000,28.290001,25.250000,25.340000,23.479637,263742800
2020-06-29,25.590000,26.170000,24.930000,25.340000,23.479637,164901800
2020-07-06,25.820000,26.020000,23.709999,25.469999,23.600094,216919200
2020-07-13,25.820000,26.090000,23.330000,24.950001,23.118271,319566600
2020-07-20,24.719999,26.850000,24.400000,26.260000,24.332094,228255900
2020-07-27,26.020000,26.020000,24.080000,24.260000,22.478924,193265400
2020-08-03,24.250000,25.219999,23.900000,25.070000,23.229458,179848700
2020-08-10,25.219999,26.139999,24.219999,25.299999,23.539045,202602400
2020-08-17,25.030001,25.139999,23.520000,23.639999,21.994589,163230300
2020-08-24,23.799999,24.889999,23.610001,24.690001,22.971504,162836100
2020-08-31,24.490000,25.360001,23.740000,24.790001,23.064545,189552600
2020-09-07,24.280001,24.670000,23.700001,24.270000,22.580734,187583600
2020-09-14,24.379999,26.000000,24.230000,25.129999,23.380873,310194600
2020-09-21,24.450001,24.520000,22.559999,23.639999,21.994589,215284600
2020-09-28,23.990000,24.270000,23.070000,23.990000,22.320225,187709700
2020-10-05,24.219999,25.510000,24.040001,25.299999,23.539045,142940800
2020-10-12,25.200001,25.740000,22.610001,22.860001,21.268877,234653100
2020-10-19,22.889999,23.590000,22.510000,23.280001,21.659643,158499700
2020-10-26,22.969999,23.020000,20.760000,21.450001,19.957018,219282900
2020-11-02,21.700001,22.570000,21.170000,21.910000,20.385000,191854000
2020-11-09,24.030001,24.870001,23.299999,24.070000,22.497478,254019200
2020-11-16,24.990000,26.230000,24.389999,25.480000,23.815361,193792600
2020-11-23,25.950001,28.730000,25.870001,28.459999,26.600674,180371700
2020-11-30,28.430000,29.969999,27.280001,29.549999,27.619467,214076600
2020-12-07,29.420000,29.629999,28.400000,29.080000,27.180174,160707800
2020-12-14,29.540001,29.910000,28.510000,29.010000,27.114744,199035900
2020-12-21,29.570000,30.490000,28.840000,29.840000,27.890516,131214900
2020-12-28,30.080000,30.480000,29.650000,30.180000,28.208307,80843400
2021-01-04,30.320000,34.200001,29.400000,33.189999,31.021652,225247900
2021-01-11,32.639999,35.099998,31.820000,32.040001,29.946789,276470500
